0	0	0	0	0	0	
0.016393	0.0093213	-0.018618	0.027865	0.029044	1.442	3.0868	
0.032787	0.018618	-0.037039	0.055067	0.058011	1.3846	3.1716	
0.04918	0.027865	-0.055067	0.080956	0.086823	1.3284	3.2522	
0.065574	0.037039	-0.072511	0.10492	0.11541	1.2741	3.3269	
0.081967	0.046114	-0.089186	0.12638	0.14368	1.2221	3.3938	
0.098361	0.055067	-0.10492	0.14483	0.17158	1.1731	3.4513	
0.11475	0.063873	-0.11953	0.15983	0.19902	1.1275	3.498	
0.13115	0.072511	-0.13289	0.17102	0.22593	1.0859	3.5329	
0.14754	0.080956	-0.14483	0.17814	0.25225	1.0487	3.555	
0.16393	0.089186	-0.15524	0.18101	0.27789	1.0163	3.564	
0.18033	0.09718	-0.164	0.17957	0.3028	0.98901	3.5595	
0.19672	0.10492	-0.17102	0.17386	0.3269	0.96713	3.5417	
0.21311	0.11237	-0.17623	0.164	0.35014	0.95089	3.511	
0.22951	0.11953	-0.17957	0.15023	0.37245	0.94048	3.4681	
0.2459	0.12638	-0.18101	0.13289	0.39377	0.936	3.4141	
0.2623	0.13289	-0.18053	0.11237	0.41405	0.93749	3.3501	
0.27869	0.13904	-0.17814	0.089186	0.43323	0.94495	3.2779	
0.29508	0.14483	-0.17386	0.063873	0.45126	0.95829	3.199	
0.31148	0.15023	-0.16773	0.037039	0.4681	0.97738	3.1154	
0.32787	0.15524	-0.15983	0.0093213	0.48369	1.002	3.029	
0.34426	0.15983	-0.15023	-0.018618	0.498	1.0319	2.942	
0.36066	0.164	-0.13904	-0.046114	0.51099	1.0668	2.8563	
0.37705	0.16773	-0.12638	-0.072511	0.52262	1.1062	2.7741	
0.39344	0.17102	-0.11237	-0.09718	0.53287	1.1499	2.6972	
0.40984	0.17386	-0.09718	-0.11953	0.54171	1.1972	2.6275	
0.42623	0.17623	-0.080956	-0.13904	0.54911	1.2478	2.5668	
0.44262	0.17814	-0.063873	-0.15524	0.55505	1.301	2.5163	
0.45902	0.17957	-0.046114	-0.16773	0.55952	1.3563	2.4774	
0.47541	0.18053	-0.027865	-0.17623	0.56251	1.4132	2.4509	
0.4918	0.18101	-0.0093213	-0.18053	0.564	1.471	2.4375	
0.5082	0.18101	0.0093213	-0.18053	0.564	1.529	2.4375	
0.52459	0.18053	0.027865	-0.17623	0.56251	1.5868	2.4509	
0.54098	0.17957	0.046114	-0.16773	0.55952	1.6437	2.4774	
0.55738	0.17814	0.063873	-0.15524	0.55505	1.699	2.5163	
0.57377	0.17623	0.080956	-0.13904	0.54911	1.7522	2.5668	
0.59016	0.17386	0.09718	-0.11953	0.54171	1.8028	2.6275	
0.60656	0.17102	0.11237	-0.09718	0.53287	1.8501	2.6972	
0.62295	0.16773	0.12638	-0.072511	0.52262	1.8938	2.7741	
0.63934	0.164	0.13904	-0.046114	0.51099	1.9332	2.8563	
0.65574	0.15983	0.15023	-0.018618	0.498	1.9681	2.942	
0.67213	0.15524	0.15983	0.0093213	0.48369	1.998	3.029	
0.68852	0.15023	0.16773	0.037039	0.4681	2.0226	3.1154	
0.70492	0.14483	0.17386	0.063873	0.45126	2.0417	3.199	
0.72131	0.13904	0.17814	0.089186	0.43323	2.055	3.2779	
0.7377	0.13289	0.18053	0.11237	0.41405	2.0625	3.3501	
0.7541	0.12638	0.18101	0.13289	0.39377	2.064	3.4141	
0.77049	0.11953	0.17957	0.15023	0.37245	2.0595	3.4681	
0.78689	0.11237	0.17623	0.164	0.35014	2.0491	3.511	
0.80328	0.10492	0.17102	0.17386	0.3269	2.0329	3.5417	
0.81967	0.09718	0.164	0.17957	0.3028	2.011	3.5595	
0.83607	0.089186	0.15524	0.18101	0.27789	1.9837	3.564	
0.85246	0.080956	0.14483	0.17814	0.25225	1.9513	3.555	
0.86885	0.072511	0.13289	0.17102	0.22593	1.9141	3.5329	
0.88525	0.063873	0.11953	0.15983	0.19902	1.8725	3.498	
0.90164	0.055067	0.10492	0.14483	0.17158	1.8269	3.4513	
0.91803	0.046114	0.089186	0.12638	0.14368	1.7779	3.3938	
0.93443	0.037039	0.072511	0.10492	0.11541	1.7259	3.3269	
0.95082	0.027865	0.055067	0.080956	0.086823	1.6716	3.2522	
0.96721	0.018618	0.037039	0.055067	0.058011	1.6154	3.1716	
0.98361	0.0093213	0.018618	0.027865	0.029044	1.558	3.0868	
1	0	0	0	0	0	
